date,Audi,BMW,Mini,Mercedes Benz,Mitsubishi Fuso,FCA,Honda Group,Hyundai,Isuzu,Jaguar Land Rover,Kia,Mazda,Mitsubishi,Nissan,Porsche,Subaru,Tesla,Toyota Group,Volkswagen,Volvo,year,month
Jan 2019,14253,18102,2457,23721,0,136082,106139,42020,265,10463,37376,20045,8708,100741,5419,46072,18411,156021,23074,5854,2019,Jan
Dec 2018,22765,34357,2797,36132,4,196520,155115,65721,534,14079,47428,25870,8986,148720,4086,64541,24712,220910,32047,8826,2018,Dec
Nov 2018,17082,28330,3528,32879,3,181310,120534,57499,415,11744,45101,20660,7688,110513,5673,56782,16843,190423,26789,8181,2018,Nov
Oct 2018,16056,23262,3166,31719,4,177391,122182,53025,387,10494,45102,18673,8002,109962,4817,55394,17851,191102,29000,7327,2018,Oct
Sep 2018,19319,25908,3461,30617,3,199819,132668,57359,415,9006,51503,21257,7705,122819,5102,57044,15175,203098,30555,8715,2018,Sep
Aug 2018,20907,23789,3800,24084,3,193718,147903,57542,319,9648,53864,25816,8416,112376,4083,64088,8514,223055,32255,8970,2018,Aug
Jul 2018,19221,21982,4296,22955,4,170970,138602,51752,272,8089,53112,24125,9950,108792,4020,59426,9517,208770,30520,8622,2018,Jul
Jun 2018,19471,29407,4146,28999,6,202264,146563,64052,301,9335,56571,17423,11149,79943,4892,59841,9351,209602,28941,9868,2018,Jun
May 2018,19315,30888,4226,30077,6,214294,153069,66056,299,9469,59462,29980,12416,131832,5005,60146,3144,215321,31211,9338,2018,May
Apr 2018,19104,27213,3731,30022,4,184149,125701,56063,198,8467,50585,23056,7990,87764,5570,53170,3471,192348,28794,8333,2018,Apr
Mar 2018,20090,35842,4531,31374,17,216063,142392,61540,337,14232,50645,33302,14319,162535,4756,58097,6159,222782,32548,8233,2018,Mar
Feb 2018,15451,26573,3065,27788,12,165903,115557,46095,267,9013,40672,25731,12973,129930,4382,47249,2698,182195,26660,6283,2018,Feb
Jan 2018,14511,19016,2937,27498,2,132803,104542,41242,166,9050,35628,24962,8480,123538,4816,44357,6566,167056,24744,5567,2018,Jan
Dec 2017,26977,34253,4611,39250,34,171946,149317,63594,394,11394,43039,26893,8501,138226,3913,63342,5787,222985,30281,9679,2017,Dec
