,Manufaturer,Sales,Year,Quarter,Index,Ratio
0,AUDI AG,14253.0,2019,Q1,,
1,AUDI AG,22765.0,2018,Q4,,
2,AUDI AG,17082.0,2018,Q4,,
3,AUDI AG,16056.0,2018,Q4,,
4,AUDI AG,19319.0,2018,Q3,,
5,AUDI AG,20907.0,2018,Q3,,
6,AUDI AG,19221.0,2018,Q3,,
7,AUDI AG,19471.0,2018,Q2,,
8,AUDI AG,19315.0,2018,Q2,,
9,AUDI AG,19104.0,2018,Q2,,
10,AUDI AG,20090.0,2018,Q1,,
11,AUDI AG,15451.0,2018,Q1,,
12,AUDI AG,14511.0,2018,Q1,,
13,AUDI AG,26977.0,2017,Q4,,
14,AUDI AG,19195.0,2017,Q4,,
15,AUDI AG,19425.0,2017,Q4,,
16,AUDI AG,19308.0,2017,Q3,,
17,AUDI AG,19811.0,2017,Q3,,
18,AUDI AG,18824.0,2017,Q3,,
19,AUDI AG,19416.0,2017,Q2,,
20,AUDI AG,19197.0,2017,Q2,,
21,AUDI AG,18711.0,2017,Q2,,
22,AUDI AG,18705.0,2017,Q1,,
23,AUDI AG,13741.0,2017,Q1,,
24,AUDI AG,13201.0,2017,Q1,,
25,AUDI AG,23195.0,2016,Q4,,
26,AUDI AG,17118.0,2016,Q4,,
27,AUDI AG,17721.0,2016,Q4,,
28,AUDI AG,17617.0,2016,Q3,,
29,AUDI AG,19264.0,2016,Q3,,
30,AUDI AG,18364.0,2016,Q3,,
31,AUDI AG,18445.0,2016,Q2,,
32,AUDI AG,18728.0,2016,Q2,,
33,AUDI AG,17801.0,2016,Q2,,
34,AUDI AG,18392.0,2016,Q1,,
35,AUDI AG,11718.0,2016,Q1,,
36,AUDI AG,11850.0,2016,Q1,,
37,AUDI AG,20399.0,2015,Q4,,
38,AUDI AG,16700.0,2015,Q4,,
39,AUDI AG,17700.0,2015,Q4,,
40,AUDI AG,17340.0,2015,Q3,,
41,AUDI AG,18794.0,2015,Q3,,
42,AUDI AG,17654.0,2015,Q3,,
43,AUDI AG,18262.0,2015,Q2,,
44,AUDI AG,18428.0,2015,Q2,,
45,AUDI AG,16827.0,2015,Q2,,
46,AUDI AG,17102.0,2015,Q1,,
47,AUDI AG,11455.0,2015,Q1,,
48,AUDI AG,11541.0,2015,Q1,,
49,AUDI AG,19238.0,2014,Q4,,
50,AUDI AG,16640.0,2014,Q4,,
51,AUDI AG,15150.0,2014,Q4,,
52,AUDI AG,14917.0,2014,Q3,,
53,AUDI AG,17101.0,2014,Q3,,
